,Product,Unit Price,Category
221,BRONDI AMICO LEALE TELEFONO SENIOR  DUAL SIM,"59,90€",Smartphone & Cellulari
222,VODAFONE GALAXY A35 5G 6+128GB BLACK,"294,90€",Smartphone & Cellulari
223,NOKIA 3210 4G 2024 GRUNGE BLACK,"79,90€",Smartphone & Cellulari
224,NOKIA 3210 4G 2024 BLUE,"79,90€",Smartphone & Cellulari
225,"MOTOROLA RAZR 50, 8/256GB, ICONICO DESIGN FLIP, AI, DISPLAY ESTERNO 3.63"", INTERNO 6.9"", 50+13MP, SELFIE 32MP, 4200 MAH","576,90€",Smartphone & Cellulari
226,"MOTOROLA RAZR 50 ULTRA, 12/512GB, ICONICO DESIGN FLIP, AI, DISPLAY ESTERNO 4.0"", INTERNO 6.9"", 50+50MP, SELFIE 32MP","903,90€",Smartphone & Cellulari
227,"MOTOROLA RAZR 50 ULTRA, 12/512GB, ICONICO DESIGN FLIP, AI, DISPLAY ESTERNO 4.0"", INTERNO 6.9"", 50+50MP, SELFIE 32MP","903,90€",Smartphone & Cellulari
228,"BEGHELLI CELLULARE 4GLTE CON TASTO SALVALAVITA. E' UN TELEFONO SEMPLICE DA USARE, CON GRANDI TASTI NUMERICI RETROILLUMINATI.","79,90€",Smartphone & Cellulari
229,"MOTOROLA MOTO E14 2/64 GB, BATTERIA 5000MAH, AMPIO DISPLAY 6.56” HD+, FOTOCAMERA DA 13MP, PROCESSORE UNISOC® T606","80,90€",Smartphone & Cellulari
230,REALME - REALME GT6 5G RAZOR GREEN (512GB 16 GB),"620,90€",Smartphone & Cellulari
231,"OPPO RENO12 PRO 5G AI SMARTPHONE, DISPLAY 6.7” 120HZ AMOLED FHD+, 5000MAH, RAM 12GB+ROM 512GB, NEBULA SILVER","479,90€",Smartphone & Cellulari
